20
charge(e) x(Ang) y(Ang) z(Ang)
-0.8340  10.234  5.678  -2.345
 0.4170  11.123  6.789   1.234
 0.4170  12.456  7.890   0.123
-0.8340  13.789  8.901  -1.456
 0.0970  14.012  9.012   2.345
-0.5480   9.123  4.567  -3.456
-0.4150   8.234  3.456  -4.567
 0.2720   7.345  2.345  -5.678
-0.0140   6.456  1.234  -6.789
 0.5970   5.567  0.123  -7.890
-0.5680  15.678 10.123   3.456
-0.4160  16.789 11.234   4.567
 0.1000  17.890 12.345   5.678
-0.8340  18.901 13.456   6.789
 0.4170  19.012 14.567   7.890
 0.4170  20.123 15.678   8.901
-0.2340  21.234 16.789   9.012
-0.0170  22.345 17.890  10.123
 0.0970  23.456 18.901  11.234
 0.3340  24.567 19.012  12.345
